S.No,Crime,Gender,Age,Income,Job,Maritalstatus,Education,Harm,Attack,AttackMethod,Perpetrator
180,0,0,1,1,6,1,2,1,2,0,1
181,0,0,1,0,1,1,3,1,2,0,1
182,0,0,1,1,4,1,0,1,2,0,1
183,0,0,0,0,9,0,2,1,2,0,0
184,0,0,3,1,4,0,0,1,2,0,0
185,0,0,2,1,4,1,0,4,2,5,1
186,0,0,3,0,2,1,2,4,2,5,0
187,0,0,0,0,1,1,2,1,2,0,0
188,0,0,2,0,1,1,3,4,2,5,0
189,0,0,3,0,2,1,2,4,2,5,1
190,0,0,0,0,9,1,2,4,2,5,0
191,0,0,3,0,1,1,3,1,2,0,1
192,0,0,3,0,2,1,3,1,2,0,0
193,0,0,2,0,1,1,3,0,0,1,1
194,0,0,3,1,1,1,3,1,2,0,0
195,0,0,1,1,0,1,0,1,2,0,1
196,0,0,2,1,4,1,3,1,2,0,1
197,0,0,1,0,1,0,2,1,2,0,1
198,0,0,2,1,6,1,2,1,2,0,1
199,0,0,1,1,4,1,0,1,2,0,1
200,0,0,1,1,0,1,0,1,2,0,1
201,0,0,2,1,0,1,0,1,2,0,1
202,0,0,1,1,4,1,0,1,2,0,1
203,0,0,1,0,0,1,0,1,2,0,1
204,0,0,2,0,1,1,2,1,2,0,0
205,0,0,1,1,6,1,2,1,2,0,1
206,0,0,3,0,0,1,0,1,2,0,1
207,0,0,1,0,1,1,2,1,2,0,1
208,0,0,2,1,1,1,2,1,2,0,1
209,0,0,2,1,0,1,0,4,2,5,0
210,0,1,1,1,6,1,2,0,0,1,0
211,0,0,1,2,1,1,0,1,2,0,1
212,0,0,2,0,1,1,2,1,2,0,1
213,0,0,3,0,0,1,0,1,2,0,1
214,0,1,2,1,6,1,3,1,2,0,1
215,0,0,1,1,0,1,0,1,2,0,1
216,0,0,3,0,1,1,3,1,2,0,0
217,0,0,1,0,1,1,2,1,2,0,1
218,0,1,2,1,0,1,1,1,2,0,0
219,0,0,2,0,1,1,3,1,2,0,1
220,0,0,1,0,1,1,3,1,2,0,1
221,0,1,1,1,1,0,1,1,2,0,0
222,0,0,2,2,4,1,1,1,2,0,0
223,0,0,2,1,1,1,2,1,2,0,1
224,0,1,1,1,0,0,2,1,2,0,0
225,0,0,2,1,4,0,1,1,2,0,0
226,0,1,2,0,1,1,0,1,2,0,0
227,0,1,2,1,1,1,0,4,2,5,0
228,0,0,1,1,0,1,0,1,2,0,0
229,0,1,1,0,1,1,0,1,2,0,1
230,0,1,1,1,1,1,0,1,2,0,1
231,0,0,3,2,1,1,3,1,2,0,0
232,0,0,2,0,1,1,0,1,2,0,0
233,0,0,2,1,1,1,0,1,2,0,0
234,0,0,2,0,0,1,2,4,2,5,1
235,0,0,1,0,1,1,3,4,2,5,1
236,0,0,2,1,1,1,3,0,2,0,1
237,0,0,2,1,1,1,3,4,2,5,0
238,0,0,3,1,2,1,2,0,0,1,1
239,0,0,3,1,2,1,0,4,2,5,1
240,0,0,1,1,1,0,0,0,0,1,1
241,0,0,0,1,1,1,0,4,2,5,1
242,0,0,1,1,1,0,2,4,2,5,1
243,0,0,2,2,0,1,0,1,2,0,1
244,0,1,0,1,1,0,0,4,2,5,0
245,0,1,1,1,1,0,2,4,2,5,0
246,0,1,0,1,1,0,2,4,2,5,0
247,0,1,0,0,1,0,3,4,2,5,0
248,0,0,0,1,1,0,2,4,2,5,0
249,0,1,0,0,1,0,2,4,2,5,0
250,0,1,0,1,1,0,2,4,2,5,0
251,0,0,2,0,2,1,3,1,2,0,1
252,0,0,2,0,1,1,2,0,0,1,0
253,0,1,0,2,7,0,0,4,2,5,1
254,0,0,2,1,4,1,0,4,2,5,1
255,0,0,3,1,1,1,3,1,2,0,0
256,0,0,3,0,2,1,2,4,2,5,0
257,0,0,3,0,2,1,3,4,2,5,1
258,0,0,3,0,2,1,0,4,2,5,1
259,0,0,3,0,2,1,0,1,2,0,1
260,0,0,2,2,1,1,3,3,2,5,0
261,0,1,2,1,4,1,0,1,2,0,1
262,0,0,1,1,1,1,2,1,2,0,0
263,0,0,2,1,2,1,2,3,2,5,0
264,0,0,2,2,5,1,0,1,2,0,1
265,0,0,2,1,1,1,3,3,2,5,1
266,0,0,2,2,7,1,1,4,2,5,1
267,0,0,2,2,7,1,0,4,2,5,1
268,0,1,0,0,9,0,2,0,0,1,1
269,0,0,1,1,1,1,0,4,2,5,1
270,0,0,2,0,1,1,2,1,2,0,1
271,0,0,1,1,0,1,0,1,2,0,1
272,0,0,1,1,1,0,3,3,2,5,1
273,0,0,1,2,1,0,2,1,2,0,1
274,0,0,3,2,5,1,0,1,2,0,1
275,0,1,2,0,3,1,3,3,2,5,1
276,0,1,2,0,3,0,3,1,2,0,1
277,0,0,2,1,1,1,3,1,2,0,1
278,0,0,3,0,2,0,3,3,2,5,0
279,0,1,1,1,6,1,1,1,2,0,1
280,0,0,3,2,4,1,1,3,2,5,0
281,0,0,3,1,8,1,2,3,2,5,0
282,0,0,3,0,1,1,3,3,2,5,0
283,0,0,2,1,1,1,2,1,2,0,1
284,0,0,0,0,1,0,3,3,2,5,1
285,0,1,2,0,3,1,3,3,2,5,1
286,0,0,2,2,0,1,2,3,2,5,0
287,0,1,2,1,4,0,0,3,2,5,1
288,0,0,2,1,0,1,2,1,2,0,1
289,0,0,3,1,1,1,2,3,2,5,1
290,0,0,1,1,4,0,0,3,2,5,0
291,0,0,2,2,5,1,0,4,2,5,1
292,0,1,1,0,3,1,2,3,2,5,0
293,0,0,0,0,9,0,2,1,2,0,1
294,0,0,1,2,8,1,0,1,2,0,1
295,0,0,0,1,0,1,0,1,2,0,1
296,0,1,2,1,1,0,2,3,2,5,1
297,0,1,0,1,4,1,0,1,2,0,1
298,0,0,3,2,8,1,0,3,2,5,1
299,0,0,0,0,0,1,0,1,2,0,0
300,0,0,1,0,1,0,3,4,2,5,0
301,0,0,0,1,1,1,3,0,2,0,0
302,0,0,2,1,4,1,0,4,2,5,0
303,0,0,0,1,6,0,0,0,2,0,1
304,0,0,1,2,7,1,0,3,2,5,0
305,0,0,1,2,0,1,0,1,2,0,0
306,0,0,1,1,5,1,0,4,2,5,0
307,0,0,1,1,8,1,2,1,2,0,1
308,0,1,0,1,4,1,2,1,2,0,1
309,0,1,2,1,7,1,0,1,2,0,0
310,0,0,2,1,2,1,2,4,2,5,1
311,0,1,2,1,4,0,3,4,2,5,0
312,0,0,1,1,4,1,1,1,2,0,0
313,0,0,2,1,8,1,0,0,0,1,0
314,0,0,3,1,2,1,2,4,2,5,1
315,0,0,3,1,8,1,0,1,2,0,1
316,0,1,2,0,1,1,3,4,2,5,0
317,0,0,1,1,0,1,0,1,2,0,0
318,0,0,3,1,2,1,0,1,2,0,1
319,0,0,1,0,1,1,0,1,2,0,0
320,0,0,2,1,1,1,2,3,2,5,0
321,0,0,1,1,0,1,2,1,2,0,1
322,0,0,0,0,9,1,1,1,2,0,0
323,0,0,2,1,1,1,3,4,2,5,1
